Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
BURL,"Burlington Stores, Inc.",18119268780.00,17748181311.00,-371087469.00,-2.05,21,20,+1,0.8005,0.8498
2368.HK,Eagle Nice (International) Holdings Limited,291866042.07,285415212.99,-6450829.09,-2.21,115,112,+3,0.0129,0.0137
ROST,"Ross Stores, Inc.",49316137780.00,48203723980.00,-1112413800.00,-2.26,11,11,0,2.1788,2.3080
GES,"Guess', Inc.",714219880.00,695460605.00,-18759275.00,-2.63,91,92,-1,0.0316,0.0333
DKS,"DICK'S Sporting Goods, Inc.",18410864520.00,17845497712.00,-565366808.00,-3.07,20,19,+1,0.8134,0.8544
ZAL.DE,Zalando SE,7053602517.86,6772697518.38,-280904999.47,-3.98,38,40,-2,0.3116,0.3243
ZGN,Ermenegildo Zegna N.V.,2151903460.00,2050949600.00,-100953860.00,-4.69,69,67,+2,0.0951,0.0982
MKS.L,Marks and Spencer Group plc,107080501.07,101044011.34,-6036489.73,-5.64,129,129,0,0.0047,0.0048
SKX,"Skechers U.S.A., Inc.",10046395640.00,9470393331.00,-576002309.00,-5.73,27,27,0,0.4439,0.4534
GFG.DE,Global Fashion Group S.A.,103572595.82,96178630.96,-7393964.86,-7.14,130,130,0,0.0046,0.0046
002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",704061135.68,646442754.35,-57618381.33,-8.18,93,97,-4,0.0311,0.0310
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,847152004.85,777592276.01,-69559728.84,-8.21,89,90,-1,0.0374,0.0372
JD.L,JD Sports Fashion plc,67520845.52,61965560.17,-5555285.35,-8.23,133,132,+1,0.0030,0.0030
BOO.L,Boohoo Group Plc,5462279.64,4945542.49,-516737.15,-9.46,147,147,0,0.0002,0.0002
0709.HK,Giordano International Limited,349677209.04,314140133.35,-35537075.69,-10.16,111,109,+2,0.0154,0.0150
RMS.PA,Hermès International Société en commandite par actions,284516099358.26,254986219967.50,-29529879390.76,-10.38,2,2,0,12.5701,12.2087
KER.PA,Kering S.A.,34148836556.83,30468059160.25,-3680777396.58,-10.78,14,13,+1,1.5087,1.4588
ITX.MC,"Industria de Diseño Textil, S.A.",180636588154.16,157748319863.47,-22888268290.69,-12.67,3,3,0,7.9807,7.5530
600612.SS,"Lao Feng Xiang Co., Ltd.",3955030021.59,3450018642.26,-505011379.33,-12.77,53,52,+1,0.1747,0.1652
4012.SR,Thob Al Aseel Company,453079608.75,391247568.03,-61832040.72,-13.65,106,108,-2,0.0200,0.0187
GAP,"The Gap, Inc.",9109756171.00,7789638960.00,-1320117211.00,-14.49,29,35,-6,0.4025,0.3730
BIRK,Birkenstock Holding plc,10642402585.00,9093014894.00,-1549387691.00,-14.56,25,29,-4,0.4702,0.4354
