Ticker,Company Name,Market Cap Previous Month (EUR),Market Cap Latest Month (EUR),Difference (EUR),Difference (%),Previous Month Date,Latest Month Date
CTAS,Cintas Corporation,76645490605.69,74502050218.00,-2143440387.69,-2.80%,2024-11-30,2024-12-31
7606.T,United Arrows Ltd.,71322103818.04,71322103818.04,0.00,0.00%,2024-11-30,2024-12-31
1929.HK,Chow Tai Fook Jewellery Group Limited,64504388545.63,67252362044.00,2747973498.37,4.26%,2024-11-30,2024-12-31
LUXIND.NS,Lux Industries Limited,43897181276.01,60480806706.00,16583625429.99,37.78%,2024-11-30,2024-12-31
ROST,"Ross Stores, Inc.",46112317510.01,49960801357.00,3848483846.99,8.35%,2024-11-30,2024-12-31
LULU,Lululemon Athletica Inc.,45114550988.98,46920559770.00,1806008781.02,4.00%,2024-11-30,2024-12-31
3998.HK,Bosideng International Holdings Limited,40693628964.24,43631604535.00,2937975570.76,7.22%,2024-11-30,2024-12-31
ADS.DE,adidas AG,43387080312.20,43387080312.20,0.00,0.00%,2024-11-30,2024-12-31
2331.HK,Li Ning Company Limited,38702103942.20,42562520479.00,3860416536.80,9.97%,2024-11-30,2024-12-31
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,26564394310.27,34640723200.00,8076328889.73,30.40%,2024-11-30,2024-12-31
DECK,Deckers Outdoor Corporation,30504436975.25,30918421600.00,413984624.75,1.36%,2024-11-30,2024-12-31
KER.PA,Kering SA,30658388426.97,29215572548.00,-1442815878.97,-4.71%,2024-11-30,2024-12-31
LPP.WA,LPP SA,28603757638.51,28603757638.51,0.00,0.00%,2024-11-30,2024-12-31
600612.SS,"Lao Feng Xiang Co., Ltd.",20684027697.72,28389600998.00,7705573300.28,37.25%,2024-11-30,2024-12-31
DOLLAR.NS,Dollar Industries Limited,21772271751.05,27826455635.00,6054183883.95,27.81%,2024-11-30,2024-12-31
002563.SZ,"Zhejiang Semir Garment Co., Ltd.",15910950153.52,18912512923.00,3001562769.48,18.86%,2024-11-30,2024-12-31
ONON,On Holding AG,18052080317.95,18560944395.00,508864077.05,2.82%,2024-11-30,2024-12-31
6110.HK,Topsports International Holdings Limited,17071328616.05,18479671455.00,1408342838.95,8.25%,2024-11-30,2024-12-31
DKS,"DICK'S Sporting Goods, Inc.",19061744217.18,18399651360.00,-662092857.18,-3.47%,2024-11-30,2024-12-31
BURL,"Burlington Stores, Inc.",17179373972.38,18119268780.00,939894807.62,5.47%,2024-11-30,2024-12-31
MONTECARLO.NS,Monte Carlo Fashions Limited,12754613402.32,16621870745.00,3867257342.68,30.32%,2024-11-30,2024-12-31
MONC.MI,Moncler S.p.A.,15842477706.93,15842477706.93,0.00,0.00%,2024-11-30,2024-12-31
TPR,"Tapestry, Inc.",15987055210.96,15123895000.00,-863160210.96,-5.40%,2024-11-30,2024-12-31
RL,Ralph Lauren Corporation,14587829327.85,14459348000.00,-128481327.85,-0.88%,2024-11-30,2024-12-31
LREN3.SA,Lojas Renner S.A.,13645035176.81,13635016795.62,-10018381.20,-0.07%,2024-11-30,2024-12-31
NXT.L,NEXT plc,10447554394.85,11445090000.00,997535605.15,9.55%,2024-11-30,2024-12-31
GIL.TO,Gildan Activewear Inc.,10801275458.10,10882317479.00,81042020.90,0.75%,2024-11-30,2024-12-31
BIRK,Birkenstock Holding plc,10541883456.81,10642402585.00,100519128.19,0.95%,2024-11-30,2024-12-31
SKX,"Skechers U.S.A., Inc.",10727522919.99,10209116440.00,-518406479.99,-4.83%,2024-11-30,2024-12-31
DOCS,"Doximity, Inc.",9905860915.61,9943994280.00,38133364.39,0.38%,2024-11-30,2024-12-31
GAP,"The Gap, Inc.",8695194398.81,8908510000.00,213315601.19,2.45%,2024-11-30,2024-12-31
